Age	Place	Studies	Race	Sex	Salary
55	3	15	2	2	251.05
29	2	8	1	1	26791.78
35	2	24	1	2	63674.62
41	1	20	2	2	8369.23
62	3	25	2	2	4647.19
44	1	7	1	2	286.88
23	3	11	3	1	975.08
37	2	16	4	1	32742.56
34	1	16	2	1	71463.18
70	3	8	4	1	1643.95
44	2	6	4	2	34803.24
40	3	25	1	2	102021.5
44	2	25	4	1	22544.65
32	2	11	3	2	22627.92
45	3	14	2	2	98.53
23	3	11	1	1	697.89
32	1	15	1	2	69922.64
44	2	23	3	2	2064.04
55	2	14	4	1	1649.32
23	2	12	3	1	2766.42
52	2	18	4	2	22017.38
23	2	15	2	1	27262.26
69	3	15	3	2	1166.59
62	1	7	2	2	957.14
25	2	23	3	1	39043.43
50	3	19	3	2	455.01
21	2	13	1	2	15490.44
68	1	15	1	1	76.23
22	2	21	1	2	13662.03
34	2	21	3	2	59947.83
64	3	15	3	2	642.79
40	3	22	1	1	26548.89
40	1	17	2	2	21352.12
44	3	24	4	2	11026.7
26	2	16	4	1	15830.48
44	3	10	1	1	704.72
25	2	11	4	2	31708.4
22	3	12	3	2	904.22
56	1	13	2	1	333.48
49	2	20	1	2	10930.18
21	1	25	2	2	9947.9
50	2	19	2	1	5661.36
47	2	14	4	2	33862.03
36	1	25	1	1	92157.21
26	2	4	2	1	5237.39
34	3	5	1	1	22783.31
67	2	18	3	2	26094.13
46	3	22	3	2	10755.53
66	3	12	3	1	957.42
53	1	4	3	1	343.02
23	2	20	4	1	41768.69
36	1	15	2	2	44236.2
35	2	9	4	2	120941.5
31	1	24	2	1	74895.99
51	1	7	4	2	3257.27
25	3	7	1	2	888.55
40	1	23	3	2	36236.71
37	3	25	2	2	72897.42
48	2	5	2	1	19123.43
35	1	12	2	2	91335.26
28	1	20	3	1	8661.37
49	1	19	3	1	204.28
44	1	13	2	1	152.69
23	3	12	4	2	533.45
48	1	10	4	2	2868.55
67	3	11	3	1	752.24
69	3	6	4	1	1623.2
42	2	5	1	1	10634.33
65	1	19	4	1	120.44
34	2	15	1	1	68026.39
47	2	12	1	1	6479.01
44	1	17	3	2	322.36
42	2	11	3	1	17516.54
21	2	24	3	1	32592.06
61	1	6	4	2	145.46
49	2	8	4	1	3413.07
33	1	5	2	1	94645.88
66	2	24	1	2	3045.25
38	2	7	4	2	98927.17
62	1	21	1	1	889.83
38	3	7	4	1	8355.53
48	3	19	4	1	1417
51	3	24	1	1	9597.14
26	2	25	4	2	35061.27
29	1	20	2	1	2883.12
51	1	20	3	2	4976.18
60	2	19	2	2	3172.26
44	3	8	3	2	703.36
68	1	21	3	2	2221.47
38	3	13	3	1	63145.04
25	1	22	1	1	4582.37
57	2	13	4	1	25956.14
69	1	24	3	1	8770.77
58	1	17	1	2	121.14
31	2	9	4	1	131117.37
52	3	8	4	2	1576.16
34	2	17	1	2	135193.6
24	1	7	1	1	273.96
35	3	21	2	2	70444.82
56	2	22	3	1	7638.02
42	2	9	3	1	36060.73
26	2	22	2	1	24830.78
46	3	19	1	1	424.97
63	1	14	2	1	1030.21
54	3	21	1	2	4685.88
31	1	6	4	1	11280.64
34	1	14	1	2	78305.03
33	1	10	3	1	60958.84
34	1	8	3	2	16287.42
59	2	24	2	2	25439.28
37	1	21	1	1	38727.1
25	2	12	3	1	14120.26
65	2	11	4	1	38744.21
66	1	17	1	1	1068.3
59	1	22	1	1	8901.47
34	2	8	2	2	77091.24
51	3	25	3	1	3292.23
44	1	5	1	1	332.72
29	2	6	1	2	20059.23
21	2	20	1	2	41889.95
52	3	11	3	1	234.97
54	1	14	4	2	3215.98
53	1	10	4	1	1875.34
25	1	21	1	2	6955.26
60	3	6	3	2	222.22
60	2	18	4	1	10464.05
60	2	8	2	1	2922.94
24	2	22	3	2	24188.33
49	2	4	3	1	4470.64
65	2	25	1	1	27609.77
27	2	15	4	2	32237.97
58	3	20	3	2	13119.9
28	1	10	4	1	1797.99
52	1	17	2	2	873.84
36	1	6	2	2	96392.33
61	2	21	2	2	49598.93
60	2	20	4	1	30663.35
35	3	20	3	2	13158.89
53	3	21	4	2	2839.53
31	1	4	2	2	84793.27
35	3	21	2	1	67119.82
58	2	18	1	1	35721.75
61	1	10	2	1	1087.12
68	3	7	1	1	732.29
53	2	18	2	1	15659.93
29	3	8	4	1	940.73
69	2	8	4	2	28865.85
28	2	10	4	1	22465.58
26	1	16	4	2	1252.86
41	2	18	3	1	34256.62
48	3	24	4	1	12945.74
53	1	23	1	2	9231.16
23	1	22	3	1	10513.04
49	1	17	3	2	827.06
46	2	6	1	2	21823.08
50	3	5	2	2	875.26
43	2	9	4	2	21524.13
25	2	16	1	2	9843.93
47	1	14	2	1	996.18
47	2	16	3	2	35839.29
25	2	16	1	1	8222.02
35	1	24	1	1	45428.52
68	2	13	1	2	13346.36
30	3	8	4	1	2413.43
46	1	15	1	2	1089.74
43	2	18	2	1	4379.12
67	1	21	3	2	8270.59
66	3	23	2	2	3461.08
38	2	25	4	1	83308.39
57	2	10	4	2	35621.35
40	2	17	3	1	23492.91
37	3	25	4	1	61097.36
61	1	8	2	1	561.61
34	2	14	3	1	27715.29
59	1	12	1	2	1064.75
63	1	19	3	1	758.97
32	1	23	1	2	73877.34
53	1	6	1	2	74.73
41	3	5	2	2	746.81
69	1	25	3	2	8988.45
70	3	6	2	2	1189.44
46	1	21	4	2	10028.23
39	3	7	4	2	38712.91
42	2	23	2	2	41882.95
30	1	22	1	1	2857.23
58	2	5	2	1	25032.36
61	2	6	4	2	6904
25	3	4	4	1	940.3
24	1	17	1	1	131.19
52	3	14	4	2	324.12
32	3	14	4	2	99657.04
49	1	24	3	1	11811.27
64	2	7	2	1	26522.34
25	1	9	3	2	140.83
39	2	25	1	2	71760.21
25	1	10	2	2	265.73
52	3	11	4	1	600.15
61	2	5	2	2	18507.4
45	1	21	4	2	15421.8
43	2	18	4	1	22227.78
31	2	24	2	1	37085.71
48	1	20	1	1	3295.24
28	3	21	4	2	5072.11
58	3	10	3	2	819.38
45	3	13	2	1	791.78
43	1	21	3	2	5358.66
67	3	7	4	1	1225.94
36	2	11	1	2	133209.56
46	1	12	2	1	106.26
61	1	8	2	1	705.82
59	2	22	3	2	10909.86
68	3	5	1	1	553.44
27	2	15	2	1	7308.25
57	2	25	2	2	37195.68
50	2	19	4	1	32140.45
55	3	24	1	2	7821.11
32	2	4	4	2	5328.45
50	1	17	3	1	173.56
43	1	20	4	2	11828.86
36	1	11	2	2	93960.85
58	3	4	3	2	780.94
33	3	17	3	2	12734.88
59	1	24	1	2	2851.83
41	2	19	3	2	23972.63
21	3	22	1	1	9674.28
43	3	7	1	2	573.37
63	3	6	2	2	1006.26
32	1	22	2	2	51546.62
25	2	23	1	2	32667.04
62	3	5	1	1	667.97
66	1	23	3	1	5143.35
54	3	10	3	2	1028.46
36	3	24	4	1	84123.34
49	1	15	4	1	1331.08
52	3	20	4	1	2639.36
23	2	11	2	1	22400.61
61	3	20	1	1	3935.71
39	3	5	3	1	15642.69
47	1	6	3	1	497.41
21	1	24	1	1	11907.54
34	3	4	1	1	44333.19
44	2	5	4	2	35022.26
68	1	15	3	1	1056.63
53	1	13	2	2	186.59
56	3	5	1	2	1188.29
68	2	13	4	2	16516.78
33	2	15	3	2	82816.96
39	2	23	3	1	105181.76
32	3	16	4	2	71570.4
43	1	10	1	2	1038.14
54	1	5	2	2	111.86
70	3	11	3	2	489.03
36	3	25	2	2	89499.33
62	2	7	2	1	4824.13
67	1	9	2	2	402.7
25	2	13	2	2	27833.47
40	1	21	4	1	71180.06
65	1	18	1	1	879.63
41	3	15	3	1	903.43
29	1	23	4	1	7208.17
49	3	11	1	1	564.77
58	3	15	1	1	70.27
52	2	8	4	1	2810.42
69	3	24	3	2	1065.11
32	2	10	2	2	102197.15
53	2	8	1	1	3052.87
36	3	20	4	1	73577.55
46	1	17	4	1	2983.49
64	2	22	4	1	44775.9
35	3	13	1	2	35534.04
22	1	14	2	1	383.63
27	1	12	3	1	577.73
68	2	19	1	1	19004.13
21	1	21	2	1	855.06
59	2	6	2	2	16886.13
24	1	16	3	2	253.64
64	3	19	3	1	1037.21
37	3	8	2	2	59720.32
