Age	Place	Studies	Race	Sex	Salary
55	South	15	Indian	M	251.05
29	North	08	Asian	F	26791.78
35	North	24	Asian	M	63674.62
41	Center	20	Indian	M	8369.23
62	South	25	Indian	M	4647.19
44	Center	07	Asian	M	286.88
23	South	11	Other	F	975.08
37	North	16	White	F	32742.56
34	Center	16	Indian	F	71463.18
70	South	08	White	F	1643.95
44	North	06	White	M	34803.24
40	South	25	Asian	M	102021.50
44	North	25	White	F	22544.65
32	North	11	Other	M	22627.92
45	South	14	Indian	M	98.53
23	South	11	Asian	F	697.89
32	Center	15	Asian	M	69922.64
44	North	23	Other	M	2064.04
55	North	14	White	F	1649.32
23	North	12	Other	F	2766.42
52	North	18	White	M	22017.38
23	North	15	Indian	F	27262.26
69	South	15	Other	M	1166.59
62	Center	07	Indian	M	957.14
25	North	23	Other	F	39043.43
50	South	19	Other	M	455.01
21	North	13	Asian	M	15490.44
68	Center	15	Asian	F	76.23
22	North	21	Asian	M	13662.03
34	North	21	Other	M	59947.83
64	South	15	Other	M	642.79
40	South	22	Asian	F	26548.89
40	Center	17	Indian	M	21352.12
44	South	24	White	M	11026.70
26	North	16	White	F	15830.48
44	South	10	Asian	F	704.72
25	North	11	White	M	31708.40
22	South	12	Other	M	904.22
56	Center	13	Indian	F	333.48
49	North	20	Asian	M	10930.18
21	Center	25	Indian	M	9947.90
50	North	19	Indian	F	5661.36
47	North	14	White	M	33862.03
36	Center	25	Asian	F	92157.21
26	North	04	Indian	F	5237.39
34	South	05	Asian	F	22783.31
67	North	18	Other	M	26094.13
46	South	22	Other	M	10755.53
66	South	12	Other	F	957.42
53	Center	04	Other	F	343.02
23	North	20	White	F	41768.69
36	Center	15	Indian	M	44236.20
35	North	09	White	M	120941.50
31	Center	24	Indian	F	74895.99
51	Center	07	White	M	3257.27
25	South	07	Asian	M	888.55
40	Center	23	Other	M	36236.71
37	South	25	Indian	M	72897.42
48	North	05	Indian	F	19123.43
35	Center	12	Indian	M	91335.26
28	Center	20	Other	F	8661.37
49	Center	19	Other	F	204.28
44	Center	13	Indian	F	152.69
23	South	12	White	M	533.45
48	Center	10	White	M	2868.55
67	South	11	Other	F	752.24
69	South	06	White	F	1623.20
42	North	05	Asian	F	10634.33
65	Center	19	White	F	120.44
34	North	15	Asian	F	68026.39
47	North	12	Asian	F	6479.01
44	Center	17	Other	M	322.36
42	North	11	Other	F	17516.54
21	North	24	Other	F	32592.06
61	Center	06	White	M	145.46
49	North	08	White	F	3413.07
33	Center	05	Indian	F	94645.88
66	North	24	Asian	M	3045.25
38	North	07	White	M	98927.17
62	Center	21	Asian	F	889.83
38	South	07	White	F	8355.53
48	South	19	White	F	1417.00
51	South	24	Asian	F	9597.14
26	North	25	White	M	35061.27
29	Center	20	Indian	F	2883.12
51	Center	20	Other	M	4976.18
60	North	19	Indian	M	3172.26
44	South	08	Other	M	703.36
68	Center	21	Other	M	2221.47
38	South	13	Other	F	63145.04
25	Center	22	Asian	F	4582.37
57	North	13	White	F	25956.14
69	Center	24	Other	F	8770.77
58	Center	17	Asian	M	121.14
31	North	09	White	F	131117.37
52	South	08	White	M	1576.16
34	North	17	Asian	M	135193.60
24	Center	07	Asian	F	273.96
35	South	21	Indian	M	70444.82
56	North	22	Other	F	7638.02
42	North	09	Other	F	36060.73
26	North	22	Indian	F	24830.78
46	South	19	Asian	F	424.97
63	Center	14	Indian	F	1030.21
54	South	21	Asian	M	4685.88
31	Center	06	White	F	11280.64
34	Center	14	Asian	M	78305.03
33	Center	10	Other	F	60958.84
34	Center	08	Other	M	16287.42
59	North	24	Indian	M	25439.28
37	Center	21	Asian	F	38727.10
25	North	12	Other	F	14120.26
65	North	11	White	F	38744.21
66	Center	17	Asian	F	1068.30
